site_id,variable,n,finite_prop,zeros,ties_prop,n_gaps
ABBY,abundance,73,1,23,0.3150684931506849,72
ABBY,richness,73,1,23,0.3150684931506849,72
BARR,abundance,17,1,3,0.17647058823529413,16
BARR,richness,17,1,3,0.17647058823529413,16
BART,abundance,96,1,17,0.17708333333333334,95
BART,richness,96,1,17,0.17708333333333334,95
BLAN,abundance,114,1,20,0.17543859649122806,113
BLAN,richness,114,1,20,0.17543859649122806,113
BONA,abundance,40,1,11,0.275,39
BONA,richness,40,1,11,0.275,39
CLBJ,abundance,115,1,37,0.3217391304347826,114
CLBJ,richness,115,1,37,0.3217391304347826,114
CPER,abundance,132,1,20,0.15151515151515152,131
CPER,richness,132,1,20,0.15151515151515152,131
DCFS,abundance,62,1,12,0.1935483870967742,61
DCFS,richness,62,1,12,0.1935483870967742,61
DEJU,abundance,51,1,9,0.17647058823529413,50
DEJU,richness,51,1,9,0.17647058823529413,50
DELA,abundance,103,1,22,0.21359223300970873,102
DELA,richness,103,1,22,0.21359223300970873,102
DSNY,abundance,139,1,50,0.3597122302158273,138
DSNY,richness,139,1,50,0.3597122302158273,138
GRSM,abundance,100,1,23,0.23,99
GRSM,richness,100,1,23,0.23,99
GUAN,abundance,101,1,73,0.7227722772277227,100
GUAN,richness,101,1,73,0.7227722772277227,100
HARV,abundance,107,1,16,0.14953271028037382,106
HARV,richness,107,1,16,0.14953271028037382,106
HEAL,abundance,55,1,10,0.18181818181818182,54
HEAL,richness,55,1,10,0.18181818181818182,54
JERC,abundance,124,1,35,0.28225806451612906,123
JERC,richness,124,1,35,0.28225806451612906,123
JORN,abundance,124,1,48,0.3870967741935484,123
JORN,richness,124,1,48,0.3870967741935484,123
KONA,abundance,78,1,21,0.2692307692307692,77
KONA,richness,78,1,21,0.2692307692307692,77
KONZ,abundance,100,1,22,0.22,99
KONZ,richness,100,1,22,0.22,99
LAJA,abundance,100,1,19,0.19,99
LAJA,richness,100,1,19,0.19,99
LENO,abundance,102,1,26,0.2549019607843137,101
LENO,richness,102,1,26,0.2549019607843137,101
MLBS,abundance,70,1,23,0.32857142857142857,69
MLBS,richness,70,1,23,0.32857142857142857,69
MOAB,abundance,118,1,41,0.3474576271186441,117
MOAB,richness,118,1,41,0.3474576271186441,117
NIWO,abundance,58,1,10,0.1724137931034483,57
NIWO,richness,58,1,10,0.1724137931034483,57
NOGP,abundance,80,1,16,0.2,79
NOGP,richness,80,1,16,0.2,79
OAES,abundance,134,1,38,0.2835820895522388,133
OAES,richness,134,1,38,0.2835820895522388,133
ONAQ,abundance,92,1,34,0.3695652173913043,91
ONAQ,richness,92,1,34,0.3695652173913043,91
ORNL,abundance,131,1,23,0.17557251908396945,130
ORNL,richness,131,1,23,0.17557251908396945,130
OSBS,abundance,141,1,33,0.23404255319148937,140
OSBS,richness,141,1,33,0.23404255319148937,140
PUUM,abundance,64,1,16,0.25,63
PUUM,richness,64,1,16,0.25,63
RMNP,abundance,55,1,13,0.23636363636363636,54
RMNP,richness,55,1,13,0.23636363636363636,54
SCBI,abundance,124,1,22,0.1774193548387097,123
SCBI,richness,124,1,22,0.1774193548387097,123
SERC,abundance,121,1,28,0.23140495867768596,120
SERC,richness,121,1,28,0.23140495867768596,120
SJER,abundance,99,1,15,0.15151515151515152,98
SJER,richness,99,1,15,0.15151515151515152,98
SOAP,abundance,69,1,27,0.391304347826087,68
SOAP,richness,69,1,27,0.391304347826087,68
SRER,abundance,112,1,45,0.4017857142857143,111
SRER,richness,112,1,45,0.4017857142857143,111
STEI,abundance,76,1,15,0.19736842105263158,75
STEI,richness,76,1,15,0.19736842105263158,75
STER,abundance,108,1,24,0.2222222222222222,107
STER,richness,108,1,24,0.2222222222222222,107
TALL,abundance,122,1,14,0.11475409836065574,121
TALL,richness,122,1,14,0.11475409836065574,121
TEAK,abundance,40,1,17,0.425,39
TEAK,richness,40,1,17,0.425,39
TOOL,abundance,27,1,5,0.18518518518518517,26
TOOL,richness,27,1,5,0.18518518518518517,26
TREE,abundance,78,1,16,0.20512820512820512,77
TREE,richness,78,1,16,0.20512820512820512,77
UKFS,abundance,119,1,27,0.226890756302521,118
UKFS,richness,119,1,27,0.226890756302521,118
UNDE,abundance,82,1,15,0.18292682926829268,81
UNDE,richness,82,1,15,0.18292682926829268,81
WOOD,abundance,96,1,13,0.13541666666666666,95
WOOD,richness,96,1,13,0.13541666666666666,95
WREF,abundance,60,1,25,0.4166666666666667,59
WREF,richness,60,1,25,0.4166666666666667,59
YELL,abundance,43,1,25,0.5813953488372093,42
YELL,richness,43,1,25,0.5813953488372093,42
