site_id,variable,n,finite_prop,zeros,ties_prop,n_gaps
ABBY,gcc_90,2388,1,0,0,20
ABBY,rcc_90,2388,1,0,0,20
BARR,gcc_90,1072,1,0,0,10
BARR,rcc_90,1072,1,0,0,10
BART,gcc_90,2617,1,0,0,19
BART,rcc_90,2617,1,0,0,19
BLAN,gcc_90,2647,1,0,0,10
BLAN,rcc_90,2647,1,0,0,10
BONA,gcc_90,1320,1,0,0,18
BONA,rcc_90,1320,1,0,0,18
CLBJ,gcc_90,2256,1,0,0,13
CLBJ,rcc_90,2256,1,0,0,13
CPER,gcc_90,2813,1,0,0,10
CPER,rcc_90,2813,1,0,0,10
DCFS,gcc_90,2347,1,0,0,10
DCFS,rcc_90,2347,1,0,0,10
DEJU,gcc_90,1997,1,0,0,10
DEJU,rcc_90,1997,1,0,0,10
DELA,gcc_90,2605,1,0,0,10
DELA,rcc_90,2605,1,0,0,10
DSNY,gcc_90,2650,1,0,0,8
DSNY,rcc_90,2650,1,0,0,8
GRSM,gcc_90,2584,1,0,0,15
GRSM,rcc_90,2584,1,0,0,15
GUAN,gcc_90,2432,1,0,0,29
GUAN,rcc_90,2432,1,0,0,29
HARV,gcc_90,2597,1,0,0,14
HARV,rcc_90,2597,1,0,0,14
HEAL,gcc_90,2144,1,0,0,24
HEAL,rcc_90,2144,1,0,0,24
JERC,gcc_90,1937,1,0,0,10
JERC,rcc_90,1937,1,0,0,10
JORN,gcc_90,2524,1,0,0,10
JORN,rcc_90,2524,1,0,0,10
KONA,gcc_90,2825,1,0,0,11
KONA,rcc_90,2825,1,0,0,11
KONZ,gcc_90,2488,1,0,0,10
KONZ,rcc_90,2488,1,0,0,10
LAJA,gcc_90,2474,1,0,0,23
LAJA,rcc_90,2474,1,0,0,23
LENO,gcc_90,2577,1,0,0,24
LENO,rcc_90,2577,1,0,0,24
MLBS,gcc_90,2117,1,0,0,10
MLBS,rcc_90,2117,1,0,0,10
MOAB,gcc_90,2568,1,0,0,10
MOAB,rcc_90,2568,1,0,0,10
NIWO,gcc_90,2512,1,0,0,18
NIWO,rcc_90,2512,1,0,0,18
NOGP,gcc_90,2302,1,0,0,7
NOGP,rcc_90,2302,1,0,0,7
OAES,gcc_90,2528,1,0,0,26
OAES,rcc_90,2528,1,0,0,26
ONAQ,gcc_90,2625,1,0,0,6
ONAQ,rcc_90,2625,1,0,0,6
ORNL,gcc_90,2579,1,0,0,42
ORNL,rcc_90,2579,1,0,0,42
OSBS,gcc_90,2567,1,0,0,14
OSBS,rcc_90,2567,1,0,0,14
PUUM,gcc_90,1715,1,0,0,11
PUUM,rcc_90,1715,1,0,0,11
RMNP,gcc_90,2606,1,0,0,19
RMNP,rcc_90,2606,1,0,0,19
SCBI,gcc_90,2639,1,0,0,20
SCBI,rcc_90,2639,1,0,0,20
SERC,gcc_90,2886,1,0,0,17
SERC,rcc_90,2886,1,0,0,17
SJER,gcc_90,1992,1,0,0,10
SJER,rcc_90,1992,1,0,0,10
SOAP,gcc_90,1594,1,0,0,14
SOAP,rcc_90,1594,1,0,0,14
SRER,gcc_90,2569,1,0,0,17
SRER,rcc_90,2569,1,0,0,17
STEI,gcc_90,2340,1,0,0,10
STEI,rcc_90,2340,1,0,0,10
STER,gcc_90,2613,1,0,0,12
STER,rcc_90,2613,1,0,0,12
TALL,gcc_90,2567,1,0,0,20
TALL,rcc_90,2567,1,0,0,20
TEAK,gcc_90,1606,1,0,0,10
TEAK,rcc_90,1606,1,0,0,10
TOOL,gcc_90,1674,1,0,0,17
TOOL,rcc_90,1674,1,0,0,17
TREE,gcc_90,2661,1,0,0,11
TREE,rcc_90,2661,1,0,0,11
UKFS,gcc_90,1929,1,0,0,17
UKFS,rcc_90,1929,1,0,0,17
UNDE,gcc_90,2624,1,0,0,15
UNDE,rcc_90,2624,1,0,0,15
WOOD,gcc_90,2650,1,0,0,6
WOOD,rcc_90,2650,1,0,0,6
WREF,gcc_90,2258,1,0,0,5
WREF,rcc_90,2258,1,0,0,5
YELL,gcc_90,1927,1,0,0,34
YELL,rcc_90,1927,1,0,0,34
