site_id,variable,n,finite_prop,zeros,ties_prop,n_gaps
BART,le,66275,1,0,0,66274
CPER,le,50696,1,0,0,50695
HARV,le,64081,1,0,0,64080
UNDE,le,75478,1,0,0,75477
STER,le,51616,1,0,0,51615
KONA,le,60810,1,0,0,60809
ABBY,le,53678,1,0,0,53677
TREE,le,78075,1,0,0,78074
UKFS,le,62533,1,0,0,62532
LENO,le,22852,1,0,0,22851
DEJU,le,61132,1,0,0,61131
RMNP,le,71572,1,0,0,71571
STEI,le,70357,1,0,0,70356
BARR,le,28073,0.9677982403020696,0,NA,28072
DCFS,le,76400,1,0,0,76399
SOAP,le,45532,1,0,0,45531
TALL,le,55642,1,0,0,55641
KONZ,le,57780,1,0,0,57779
WOOD,le,58399,1,0,0,58398
OAES,le,55992,1,0,0,55991
TOOL,le,36503,1,0,0,36502
HEAL,le,52779,1,0,0,52778
SERC,le,56117,1,0,0,56116
JORN,le,63423,1,0,0,63422
BLAN,le,54577,1,0,0,54576
GRSM,le,48992,1,0,0,48991
NOGP,le,63425,1,0,0,63424
ORNL,le,50747,1,0,0,50746
SRER,le,56599,0.8661107086697645,0,NA,56598
BONA,le,43332,1,0,0,43331
JERC,le,53297,1,0,0,53296
DELA,le,51296,1,0,0,51295
MLBS,le,47923,1,0,0,47922
NIWO,le,40519,1,0,0,40518
WREF,le,46242,1,0,0,46241
LAJA,le,28946,1,0,0,28945
TEAK,le,44125,1,0,0,44124
CLBJ,le,55971,1,0,0,55970
SJER,le,44409,1,0,0,44408
ONAQ,le,47617,1,0,0,47616
DSNY,le,53434,1,0,0,53433
SCBI,le,31790,1,0,0,31789
YELL,le,35908,1,0,0,35907
MOAB,le,45284,1,0,0,45283
PUUM,le,35367,1,0,0,35366
GUAN,le,33490,1,0,0,33489
OSBS,le,39666,1,0,0,39665
BART,nee,66275,1,0,0,66274
CPER,nee,50696,1,0,0,50695
HARV,nee,64081,1,0,0,64080
UNDE,nee,75478,1,0,0,75477
STER,nee,51616,1,0,0,51615
KONA,nee,60810,1,0,0,60809
ABBY,nee,53678,1,0,0,53677
TREE,nee,78075,1,0,0,78074
UKFS,nee,62533,1,0,0,62532
LENO,nee,22852,1,0,0,22851
DEJU,nee,61132,1,0,0,61131
RMNP,nee,71572,1,0,0,71571
STEI,nee,70357,1,0,0,70356
BARR,nee,28073,0.9677982403020696,0,NA,28072
DCFS,nee,76400,1,0,0,76399
SOAP,nee,45532,1,0,0,45531
TALL,nee,55642,1,0,0,55641
KONZ,nee,57780,1,0,0,57779
WOOD,nee,58399,1,0,0,58398
OAES,nee,55992,1,0,0,55991
TOOL,nee,36503,1,0,0,36502
HEAL,nee,52779,1,0,0,52778
SERC,nee,56117,1,0,0,56116
JORN,nee,63423,1,0,0,63422
BLAN,nee,54577,1,0,0,54576
GRSM,nee,48992,1,0,0,48991
NOGP,nee,63425,1,0,0,63424
ORNL,nee,50747,1,0,0,50746
SRER,nee,56599,0.8661107086697645,0,NA,56598
BONA,nee,43332,1,0,0,43331
JERC,nee,53297,1,0,0,53296
DELA,nee,51296,1,0,0,51295
MLBS,nee,47923,1,0,0,47922
NIWO,nee,40519,1,0,0,40518
WREF,nee,46242,1,0,0,46241
LAJA,nee,28946,1,0,0,28945
TEAK,nee,44125,1,0,0,44124
CLBJ,nee,55971,1,0,0,55970
SJER,nee,44409,1,0,0,44408
ONAQ,nee,47617,1,0,0,47616
DSNY,nee,53434,1,0,0,53433
SCBI,nee,31790,1,0,0,31789
YELL,nee,35908,1,0,0,35907
MOAB,nee,45284,1,0,0,45283
PUUM,nee,35367,1,0,0,35366
GUAN,nee,33490,1,0,0,33489
OSBS,nee,39666,1,0,0,39665
