site_id,variable,n,finite_prop,zeros,ties_prop,n_gaps
BART,le,1732,1,0,0,271
CPER,le,1342,1,0,0,177
HARV,le,1541,1,0,0,333
UNDE,le,1846,1,0,0,235
STER,le,1339,1,0,0,164
ABBY,le,1386,1,0,0,254
KONA,le,1524,1,0,0,231
TREE,le,1990,1,0,0,183
UKFS,le,1550,1,0,0,188
LENO,le,549,1,0,0,95
DEJU,le,1582,1,0,0,192
RMNP,le,1867,1,0,0,135
DCFS,le,1842,1,0,0,170
STEI,le,1758,1,0,0,152
TALL,le,1392,1,0,0,201
SOAP,le,1184,1,0,0,320
KONZ,le,1391,1,0,0,174
WOOD,le,1445,1,0,0,163
TOOL,le,896,1,0,0,267
HEAL,le,1332,1,0,0,158
SERC,le,1430,1,0,0,195
BLAN,le,1451,1,0,0,159
GRSM,le,1284,1,0,0,169
JORN,le,1756,1,0,0,184
ORNL,le,1298,1,0,0,173
NOGP,le,1623,1,0,0,157
BONA,le,1150,1,0,0,247
JERC,le,1333,1,0,0,168
DELA,le,1311,1,0,0,129
MLBS,le,1125,1,0,0,200
NIWO,le,968,1,0,0,135
WREF,le,1196,1,0,0,258
LAJA,le,765,1,0,0,102
TEAK,le,1244,1,0,0,187
CLBJ,le,1426,1,0,0,146
SJER,le,1235,1,0,0,217
ONAQ,le,1324,1,0,0,143
DSNY,le,1358,1,0,0,132
SCBI,le,808,1,0,0,113
SRER,le,1336,1,0,0,82
OAES,le,1402,1,0,0,119
MOAB,le,1248,1,0,0,106
YELL,le,957,1,0,0,120
BARR,le,655,1,0,0,160
PUUM,le,722,1,0,0,267
GUAN,le,860,1,0,0,90
OSBS,le,982,1,0,0,124
BART,nee,1732,1,0,0,271
CPER,nee,1342,1,0,0,177
HARV,nee,1541,1,0,0,333
UNDE,nee,1846,1,0,0,235
STER,nee,1339,1,0,0,164
ABBY,nee,1386,1,0,0,254
KONA,nee,1524,1,0,0,231
TREE,nee,1990,1,0,0,183
UKFS,nee,1550,1,0,0,188
LENO,nee,549,1,0,0,95
DEJU,nee,1582,1,0,0,192
RMNP,nee,1867,1,0,0,135
DCFS,nee,1842,1,0,0,170
STEI,nee,1758,1,0,0,152
TALL,nee,1392,1,0,0,201
SOAP,nee,1184,1,0,0,320
KONZ,nee,1391,1,0,0,174
WOOD,nee,1445,1,0,0,163
TOOL,nee,896,1,0,0,267
HEAL,nee,1332,1,0,0,158
SERC,nee,1430,1,0,0,195
BLAN,nee,1451,1,0,0,159
GRSM,nee,1284,1,0,0,169
JORN,nee,1756,1,0,0,184
ORNL,nee,1298,1,0,0,173
NOGP,nee,1623,1,0,0,157
BONA,nee,1150,1,0,0,247
JERC,nee,1333,1,0,0,168
DELA,nee,1311,1,0,0,129
MLBS,nee,1125,1,0,0,200
NIWO,nee,968,1,0,0,135
WREF,nee,1196,1,0,0,258
LAJA,nee,765,1,0,0,102
TEAK,nee,1244,1,0,0,187
CLBJ,nee,1426,1,0,0,146
SJER,nee,1235,1,0,0,217
ONAQ,nee,1324,1,0,0,143
DSNY,nee,1358,1,0,0,132
SCBI,nee,808,1,0,0,113
SRER,nee,1336,1,0,0,82
OAES,nee,1402,1,0,0,119
MOAB,nee,1248,1,0,0,106
YELL,nee,957,1,0,0,120
BARR,nee,655,1,0,0,160
PUUM,nee,722,1,0,0,267
GUAN,nee,860,1,0,0,90
OSBS,nee,982,1,0,0,124
